zona,region,inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
1,sierra,10,Imbabura,476257,1006,San Miguel de Urcuquí,17540,33801,16154,15265,738,1644,0.5200000000000000,-78.20000000000000,01/01/2022
7,sierra,11,Loja,521154,1102,Calvas,29565,51418,24112,23724,347,3235,-4.320000000000000,-79.56000000000000,01/01/2022
7,sierra,11,Loja,521154,1103,Catamayo,35961,60168,29387,27518,356,2907,-3.980000000000000,-79.34999999999999,01/01/2022
7,sierra,11,Loja,521154,1104,Celica,16160,24124,11619,10913,83,1509,-4.102500000000000,-79.95444400000000,01/01/2022
7,sierra,11,Loja,521154,1105,Chaguarpamba,6620,12024,5869,5691,29,435,-3.850000000000000,-79.65000000000001,01/01/2022
7,sierra,11,Loja,521154,1106,Espíndola,14209,26438,12807,11970,269,1392,-4.583056000000000,-79.42694400000001,01/01/2022
7,sierra,11,Loja,521154,1107,Gonzanamá,10953,23426,11098,10609,183,1536,-4.231389000000000,-79.43527800000000,01/01/2022
7,sierra,11,Loja,521154,1101,Loja,274112,456733,222442,204554,1579,28158,-3.983333000000000,-79.20000000000000,01/01/2022
7,sierra,11,Loja,521154,1108,Macará,20269,36379,17207,16380,674,2118,-4.383333000000000,-79.95000000000000,01/01/2022
7,sierra,11,Loja,521154,1116,Olmedo,4220,8821,4366,3919,26,510,-3.934000000000000,-79.64800000000000,01/01/2022
7,sierra,11,Loja,521154,1109,Paltas,23471,41932,19695,19057,241,2939,-4.050000000000000,-79.65000000000001,01/01/2022
7,sierra,11,Loja,521154,1114,Pindal,10540,21202,10623,9666,204,709,-4.116100000000000,-80.10760000000001,01/01/2022
7,sierra,11,Loja,521154,1110,Puyango,15925,34027,16292,15676,236,1823,-3.870000000000000,-80.09000000000000,01/01/2022
7,sierra,11,Loja,521154,1115,Quilanga,4197,7367,3362,3333,43,629,-4.298000000000000,-79.39860000000000,01/01/2022
7,sierra,11,Loja,521154,1111,Saraguro,33506,45340,23339,19847,510,1644,-3.625300000000000,-79.24110000000000,01/01/2022
7,sierra,11,Loja,521154,1112,Sozoranga,7121,9058,4338,3972,107,641,-4.327778000000000,-79.78972200000000,01/01/2022
7,sierra,11,Loja,521154,1113,Zapotillo,14325,26178,12904,12125,253,896,-4.386360000000000,-80.24360000000000,01/01/2022
5,costa,12,Los Ríos,921763,1202,Baba,43429,58931,31359,25591,700,1281,-1.784167000000000,-79.67666699999999,01/01/2022
5,costa,12,Los Ríos,921763,1201,Babahoyo,175281,231355,124559,96750,4560,5486,-1.800000000000000,-79.53333300000000,01/01/2022
5,costa,12,Los Ríos,921763,1210,Buena Fe,83654,115449,64306,47718,1367,2058,-0.8985720000000000,-79.48891600000000,01/01/2022
5,costa,12,Los Ríos,921763,1212,Mocache,43316,49343,26861,20120,1561,801,-1.183850000000000,-79.50552999999999,01/01/2022
5,costa,12,Los Ríos,921763,1203,Montalvo,28720,41398,20632,18777,711,1278,-1.793800000000000,-79.28570000000001,01/01/2022
5,costa,12,Los Ríos,921763,1209,Palenque,23638,26280,17114,8228,430,508,-1.432800000000000,-79.74950000000000,01/01/2022
5,costa,12,Los Ríos,921763,1204,Puebloviejo,44725,63638,33334,26688,2274,1342,-1.550000000000000,-79.53388900000000,01/01/2022
5,costa,12,Los Ríos,921763,1205,Quevedo,213842,289440,150738,124142,6103,8457,-1.033333000000000,-79.45000000000000,01/01/2022
5,costa,12,Los Ríos,921763,1213,Quinsaloma,20428,30067,14210,13650,863,1344,-1.206200000000000,-79.31450000000000,01/01/2022
5,costa,12,Los Ríos,921763,1206,Urdaneta,32618,47875,23989,20644,1780,1462,-1.570556000000000,-79.47111099999999,01/01/2022
5,costa,12,Los Ríos,921763,1211,Valencia,54637,78815,42128,33956,1238,1493,-0.9525000000000000,-79.35310000000000,01/01/2022
5,costa,12,Los Ríos,921763,1207,Ventanas,75146,102835,54906,43016,1759,3154,-1.450000000000000,-79.47000000000000,01/01/2022
5,costa,12,Los Ríos,921763,1208,Vinces,82329,120047,60676,53609,3219,2543,-1.558333000000000,-79.75000000000000,01/01/2022
4,costa,13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,49112,25005,21092,1016,1999,-1.278889000000000,-80.42000000000000,01/01/2022
4,costa,13,Manabí,1562079,1302,Bolívar,45493,72635,35992,32470,2107,2066,-0.8419440000000000,-80.16194400000001,01/01/2022
4,costa,13,Manabí,1562079,1303,Chone,131002,188144,96586,80024,5530,6004,-0.6833330000000000,-80.09999999999999,01/01/2022
4,costa,13,Manabí,1562079,1304,El Carmen,111344,192602,102188,82972,3403,4039,-1.314700000000000,-80.01690000000001,01/01/2022
4,costa,13,Manabí,1562079,1305,Flavio Alfaro,23822,43045,22325,18464,1302,954,-0.4054000000000000,-79.90580000000000,01/01/2022
4,costa,13,Manabí,1562079,1320,Jama,26116,30374,15049,13324,1246,755,-0.2014000000000000,-80.26590000000000,01/01/2022
4,costa,13,Manabí,1562079,1321,Jaramijó,28439,87071,43881,41461,540,1189,-0.9487300000000000,-80.63630000000001,01/01/2022
4,costa,13,Manabí,1562079,1306,Jipijapa,74645,127032,61825,58441,2153,4613,-1.333330000000000,-80.58329999999999,01/01/2022
4,costa,13,Manabí,1562079,1307,Junín,18820,36985,18147,16577,973,1288,-0.9291600000000000,-80.20569000000000,01/01/2022
4,costa,13,Manabí,1562079,1308,Manta,264281,505951,253002,236085,4147,12717,-0.9500220000000000,-80.71620000000000,01/01/2022
4,costa,13,Manabí,1562079,1309,Montecristi,107785,94720,55731,36689,681,1619,-1.033330000000000,-80.65000000000001,01/01/2022
4,costa,13,Manabí,1562079,1318,Olmedo,10194,19184,9382,8552,652,598,-1.396111000000000,-80.20611100000001,01/01/2022
4,costa,13,Manabí,1562079,1310,Paján,37093,63354,33203,27496,1414,1241,-1.570000000000000,-80.42000000000000,01/01/2022
4,costa,13,Manabí,1562079,1317,Pedernales,63441,87151,47990,36019,2412,730,0.07010000000000000,-80.05360000000000,01/01/2022
4,costa,13,Manabí,1562079,1311,Pichincha,29599,48962,26377,20372,1595,618,-1.047300000000000,-79.81860000000000,01/01/2022
4,costa,13,Manabí,1562079,1301,Portoviejo,321800,521957,254595,240359,10586,16417,-1.056181000000000,-80.45521700000000,01/01/2022
4,costa,13,Manabí,1562079,1319,Puerto López,24688,38151,19374,16972,1043,762,-1.566667000000000,-80.81666700000000,01/01/2022
4,costa,13,Manabí,1562079,1312,Rocafuerte,37312,60848,30692,26896,1136,2124,-0.9200000000000000,-80.45999999999999,01/01/2022
4,costa,13,Manabí,1562079,1322,San Vicente,24799,35512,16963,15869,1694,986,-0.5893000000000000,-80.40880000000000,01/01/2022
4,costa,13,Manabí,1562079,1313,Santa Ana,48152,75330,38144,32793,2357,2036,-1.206900000000000,-80.37090000000001,01/01/2022
4,costa,13,Manabí,1562079,1314,Sucre,62443,107062,54200,47170,2178,3514,-0.6000000000000000,-80.41666700000000,01/01/2022
4,costa,13,Manabí,1562079,1315,Tosagua,42297,63591,31890,27734,2486,1481,-0.7800000000000000,-80.26000000000001,01/01/2022
6,amazonia,14,Morona Santiago,196535,1402,Gualaquiza,19555,32999,16114,13949,1361,1575,-3.380000000000000,-78.58000000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1407,Huamboya,12382,12189,6665,4779,495,250,-1.785000000000000,-78.23194400000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1403,Limón Indanza,10349,11149,5508,4839,420,382,-2.966250000000000,-78.43052800000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1410,Logroño,7643,6101,3104,2282,493,222,-2.624800000000000,-78.18960000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1401,Morona,58281,77398,38190,32703,2920,3585,-2.300000000000000,-78.11666700000001,01/01/2022
6,amazonia,14,Morona Santiago,196535,1411,Pablo Sexto,2897,3217,1435,1452,177,153,-1.803056000000000,-77.92111100000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1404,Palora,7719,15144,7751,6290,656,447,-1.700000000000000,-77.94000000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1408,San Juan Bosco,4985,4373,1911,1988,172,302,-3.092300000000000,-78.51320000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1405,Santiago,11087,15143,7755,6146,574,668,-3.429800000000000,-78.56560000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1406,Sucúa,23823,29868,15064,12361,1085,1358,-2.460000000000000,-78.17000000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1409,Taisha,26773,7241,3259,1849,1839,294,-2.339950000000000,-77.45808000000000,01/01/2022
6,amazonia,14,Morona Santiago,196535,1412,Tiwintza,11041,5306,2501,2163,480,162,-2.917670000000000,-77.80170000000000,01/01/2022
2,amazonia,15,Napo,133705,1503,Archidona,33068,50360,26509,22233,827,791,-0.9166670000000000,-77.78333300000000,01/01/2022
2,amazonia,15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,6184,3265,2600,160,159,-1.166667000000000,-77.84999999999999,01/01/2022
2,amazonia,15,Napo,133705,1504,El Chaco,10142,17158,8540,7745,169,704,-0.3402780000000000,-77.80888899999999,01/01/2022
2,amazonia,15,Napo,133705,1507,Quijos,6847,13935,6812,6110,121,892,-0.4636110000000000,-77.89277800000001,01/01/2022
2,amazonia,15,Napo,133705,1501,Tena,79182,124297,64038,54267,2343,3649,-0.9890000000000000,-77.81590000000000,01/01/2022
2,amazonia,22,Orellana,161338,2202,Aguarico,3629,12505,6386,5428,96,595,-0.9211110000000000,-75.39916700000001,01/01/2022
2,amazonia,22,Orellana,161338,2203,La Joya de los Sachas,39352,72063,38260,31416,918,1469,-0.3000000000000000,-76.84999999999999,01/01/2022
2,amazonia,22,Orellana,161338,2204,Loreto,24579,27727,14813,10929,1409,576,-0.6904000000000000,-77.30830000000000,01/01/2022
2,amazonia,22,Orellana,161338,2201,Orellana,93778,133071,68730,58062,2653,3626,-0.4666670000000000,-76.96666700000000,01/01/2022
2,amazonia,16,Pastaza,114202,1604,Arajuno,8128,8630,4444,3282,798,106,-1.234370000000000,-77.68750000000000,01/01/2022
2,amazonia,16,Pastaza,114202,1602,Mera,17547,26498,13528,10672,677,1621,-1.460000000000000,-78.09000000000000,01/01/2022
2,amazonia,16,Pastaza,114202,1601,Pastaza,84377,106375,51534,46092,4182,4567,-1.066667000000000,-78.00111099999999,01/01/2022
2,amazonia,16,Pastaza,114202,1603,Santa Clara,4150,7450,3910,3233,207,100,-1.267100000000000,-77.88820000000000,01/01/2022
9,sierra,17,Pichincha,3228233,1702,Cayambe,107660,209099,106716,93670,1546,7167,0.04388900000000000,-78.15610000000000,01/01/2022
9,sierra,17,Pichincha,3228233,1701,Quito,2781641,4956608,2337203,2283297,49814,286294,-0.2186110000000000,-78.50972200000000,01/01/2022
9,sierra,17,Pichincha,3228233,1703,Mejía,108167,173008,86001,78088,1218,7701,-0.5101000000000000,-78.56980000000000,01/01/2022
9,sierra,17,Pichincha,3228233,1704,Pedro Moncayo,43281,91012,46521,41317,766,2408,0.04369700000000000,-78.34923999999999,01/01/2022
9,sierra,17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,26501,13123,11973,631,774,0.1666670000000000,-79,01/01/2022
9,sierra,17,Pichincha,3228233,1709,Puerto Quito,24911,36003,18447,15205,1105,1246,0.1170000000000000,-79.26400000000000,01/01/2022
9,sierra,17,Pichincha,3228233,1705,Rumiñahui,115433,280587,146144,114058,1556,18829,-0.3345000000000000,-78.44750000000001,01/01/2022
9,sierra,17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,31883,16026,13724,777,1356,0.02300000000000000,-78.89200000000000,01/01/2022
5,costa,24,Santa Elena,401178,2402,La Libertad,117767,159042,85949,67267,2356,3470,-2.233333000000000,-80.90000000000001,01/01/2022
5,costa,24,Santa Elena,401178,2403,Salinas,94590,133009,71212,56511,1239,4047,-2.216667000000000,-80.95000000000000,01/01/2022
5,costa,24,Santa Elena,401178,2401,Santa Elena,188821,275027,143099,116011,5416,10501,-2.226700000000000,-80.85830000000000,01/01/2022
4,costa,23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,99520,49976,45209,2254,2081,0.002300000000000000,-79.38460000000001,01/01/2022
4,costa,23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,620735,315561,261406,27347,16421,-0.2541670000000000,-79.17194400000000,01/01/2022
2,amazonia,21,Sucumbíos,230503,2106,Cascales,15882,14817,6997,6580,710,530,-0.06750000000000000,-77.21694400000000,01/01/2022
