provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,2,2,2,3,3,3,4,4,4,6,7
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,2,3,5,5,8,12,14,15,16,18,19,21
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,0,0,0,0,0,0,0,0,1,1,1
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,3,4,8,9,10,18,24,31,33,36,38,40
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,11,22,30,37,48,52,65,75,82,90,100,108
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,4,11,13,13,18,23,31,35,41,48,51,55
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,1,2,2,2,3,4,7,9,10,12,13,13
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,8,16,18,30,42,64,74,89,96,108,121,128
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0,1,2,7,9,9,12,12,13,13,14
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,1,1,2,3,6,7,10,12,14,15,16
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,5,7,11,15,16,18,20,25,28,29,30,33
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,22,42,50,71,122,181,230,267,291,313,334,367
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,1,1,2,3,5,8,10,11,11,12,13,14
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,10,18,27,34,44,54,79,94,109,115,125,135
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,8,14,23,28,35,53,61,72,76,80,95,102
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,23,39,53,73,98,153,203,233,254,286,311,329
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,2,4,4,6,6,9,11,11,11,12,12,14
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,1,4,6,7,9,13,18,22,26,28,31,34
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,30,58,81,102,124,163,221,259,286,313,334,359
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,1,2,2,4,5,6,7,10,10,10,10,12
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,21,42,59,83,106,143,216,261,300,324,354,379
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,27,57,77,103,136,184,255,306,334,363,387,424
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,6,12,19,23,30,41,51,62,67,77,89,97
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,4,5,6,11,11,15,16,25,31,33,41,43
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,7,14,20,29,36,41,51,58,60,65,71,74
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,1115,2172,3210,4427,5911,7605,10209,12482,14116,15419,16657,18067
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,29,53,91,113,147,211,314,380,434,471,493,538
