provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,11,24,46,96,122,141,162,187,206,226,238,240
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,15,26,38,57,88,113,144,167,177,192,205,206
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,4,6,10,15,26,34,47,59,64,74,80,80
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,177,335,498,941,1285,1520,1773,2001,2197,2394,2608,2641
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,4,6,10,51,82,91,105,113,122,131,142,144
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,13,19,37,67,92,109,122,141,161,179,200,204
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,7,15,19,27,35,46,54,63,68,72,74,74
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,11,22,33,48,69,81,90,107,126,143,151,154
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,14,33,56,104,148,194,238,274,308,330,362,371
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,16,27,41,56,79,102,115,128,141,158,176,183
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,11,22,33,55,69,77,89,100,107,117,126,129
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,4,7,12,15,19,32,37,45,53,59,64,65
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,2,5,8,8,9,13,19,19,21,24,26,26
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,2,3,5,8,11,14,17,19,20,22,25,26
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,1,2,2,5,9,12,13,16,18,20,20
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,20,37,56,74,92,118,146,180,203,219,233,240
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,2,2,2,3,3,3,4,4,4,6,6
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,2,3,5,5,8,12,14,15,16,18,19,19
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,0,0,0,0,0,0,0,0,1,1,1
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,3,4,8,9,10,17,23,30,32,35,36,36
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,11,22,30,36,47,51,64,73,79,87,97,98
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,4,11,13,13,18,23,31,35,39,45,46,46
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,1,2,2,2,3,4,7,8,9,11,12,12
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,8,16,18,28,40,62,71,86,93,105,116,116
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0,1,2,5,7,7,9,9,10,10,10
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,1,1,2,3,6,7,9,11,13,14,14
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,5,7,11,15,16,18,20,25,28,29,30,31
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,22,42,50,71,120,177,226,262,284,305,325,330
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,1,1,2,2,4,6,8,9,9,10,11,11
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,10,17,25,31,41,49,74,89,104,109,117,118
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,8,14,23,28,35,53,61,71,75,79,92,93
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,23,38,51,70,95,148,196,225,245,276,301,303
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,2,4,4,6,6,9,11,11,11,12,12,12
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,1,4,5,6,8,12,17,21,25,27,30,32
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,30,58,81,101,123,162,219,256,282,307,325,334
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,1,2,2,4,5,6,7,10,10,10,10,10
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,21,42,59,81,104,141,214,259,297,321,349,354
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,27,57,77,103,136,184,255,306,334,363,387,396
