provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,0,0,0,0,0,0,0,0
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,0,0,0,1,1,5,5,6,6
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,1,1,1,1,1,1,1,1,1
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,0,0,1,1,2,3,4,4,4
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,3,3,5,7,8,9,10,10,11
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,0,0,0,2,3,4,4,4,4
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,2,2,2,2,2,2,2,2
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,4,6,6,8,8,9,11,11,11
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,1,1,2,2,3,3,4,4,4
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,0,0,1,1,1,2,3,3
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,0,1,5,7,7,9,10,12,13
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,9,11,21,31,34,38,49,51,53
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,0,0,0,0,0,0,0,0,0
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,3,5,9,10,11,13,14,16,17
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,1,2,3,3,6,6,7,7,7
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,7,15,21,27,35,39,47,49,50
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,0,0,0,1,2,2,3,4,4
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,0,1,2,2,2,2,3,3,3
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,2,9,21,32,39,44,50,58,60
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,0,0,0,0,0,0,0,0
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,8,15,26,31,38,49,59,63,65
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,7,11,21,27,33,37,47,49,53
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,3,6,14,17,19,20,22,26,28
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,2,4,4,6,6,7,7,7,8
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,1,3,6,7,7,7,8,10,10
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,340,694,1122,1528,1912,2287,2656,2946,3106
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,13,28,34,45,52,59,65,72,79
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,0,2,3,3,5,7,7,7,7
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,5,13,22,29,38,43,48,53,56
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,9,18,22,33,40,45,60,60,63
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,22,46,77,98,136,163,193,203,213
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,8,10,12,17,19,21,22,22,25
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,47,109,158,204,261,312,377,422,453
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,0,0,0,0,0,1,1,2,2
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,0,0,0,2,2,2,2,2,2
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,0,1,3,4,4,5,7,7,7
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,14,33,49,57,66,74,88,100,108
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,0,0,0,0,0,0,1,1
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,1,3,4,8,13,14,18,20,21
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,1,1,1,15,26,46,62,62
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,85,162,259,324,400,474,538,574,595
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,0,4,7,8,10,10,11,13,13
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,2,4,4,4,5,6,6,7,7
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,0,0,1,3,3,3,5,5,5
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,1,2,4,8,9,10,11,11,12
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,7,12,32,37,41,47,49,52,52
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,4,6,14,14,18,21,24,26,27
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,3,6,9,10,13,15,16,17,19
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,3,4,5,7,9,9,10,11,11
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,1,1,2,2,2,3,4,4,4
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,0,3,4,4,4,4,4,4,4
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,0,0,0,1,2,2,3,3,3
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,0,0,0,1,1,1,1,1
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,0,0,0,0,0,0,0,0,0
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,4,4,4,4,4,4,4,4
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,1,2,2,3,4,4,4,4,4
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,2,5,9,9,10,14,15,15,16
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,3,4,4,6,9,11,14,16,16
