provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,mes
Chimborazo,524004,Riobamba,264048,10915,1176,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,La Maná,56905,934,49,-0.9300000000000000,-79.22000000000000,2
Cotopaxi,488716,Latacunga,205624,7807,659,-0.9333330000000000,-78.61666700000001,2
Cotopaxi,488716,Pangua,24612,493,27,-1.133333000000000,-79.06666700000000,2
Cotopaxi,488716,Pujilí,79772,2384,279,-0.9500000000000000,-78.69000000000000,2
Cotopaxi,488716,Salcedo,67100,4273,319,-1.050000000000000,-78.58333300000000,2
Cotopaxi,488716,Saquisilí,31426,1110,90,-0.8300000000000000,-78.67000000000000,2
Cotopaxi,488716,Sigchos,23277,643,69,-0.7000000000000000,-78.88333299999999,2
El Oro,715751,Arenillas,33473,1341,72,-3.550000000000000,-80.06000000000000,2
El Oro,715751,Atahualpa,6436,584,51,-2.900000000000000,-78.93333300000000,2
El Oro,715751,Balsas,9233,602,41,-3.762600000000000,-79.82530000000000,2
El Oro,715751,Chilla,2379,77,6,-3.450000000000000,-79.58000000000000,2
El Oro,715751,El Guabo,63645,1606,134,-3.238800000000000,-79.82920000000000,2
El Oro,715751,Huaquillas,60440,2053,300,-3.481380000000000,-80.24320700000000,2
El Oro,715751,Las Lajas,4963,247,34,-3.785000000000000,-80.06166700000000,2
El Oro,715751,Machala,289141,25458,2977,-3.266667000000000,-79.96666700000000,2
El Oro,715751,Marcabelí,6259,443,40,-3.786000000000001,-79.89780000000000,2
El Oro,715751,Pasaje,87723,4404,634,-3.326900000000000,-79.80490000000000,2
El Oro,715751,Piñas,30206,3450,439,-3.666667000000000,-79.65000000000001,2
El Oro,715751,Portovelo,14028,1561,114,-3.720000000000000,-79.62000000000000,2
El Oro,715751,Santa Rosa,82171,4872,492,-3.452222000000000,-79.96166700000001,2
El Oro,715751,Zaruma,25654,1995,228,-3.433333000000000,-79.59999999999999,2
Esmeraldas,591083,Atacames,55495,1181,122,0.8666670000000000,-79.83333300000000,2
Esmeraldas,591083,Eloy Alfaro,45629,551,31,1.250000000000000,-79,2
Esmeraldas,591083,Esmeraldas,218727,7515,398,1.050000000000000,-79.20000000000000,2
Esmeraldas,591083,Muisne,31106,323,20,0.6067000000000000,-80.01830000000000,2
Esmeraldas,591083,Quinindé,145879,2606,97,0.3300000000000000,-79.48000000000000,2
Esmeraldas,591083,Rioverde,31475,529,51,1.060200000000000,-79.40440000000000,2
Esmeraldas,591083,San Lorenzo,62772,1153,53,1.265800000000000,-78.84139999999999,2
Galápagos,33042,Isabela,3073,464,63,-0.4724000000000000,-90.68110000000000,2
Galápagos,33042,San Cristóbal,9667,899,112,-0.7999999999999999,-89.40000000000001,2
Galápagos,33042,Santa Cruz,20302,1649,104,-0.6333330000000000,-90.36666700000001,2
Guayas,4387434,Alfredo Baquerizo Moreno,32110,271,10,-1.916667000000000,-79.51666700000000,2
Guayas,4387434,Balao,26348,447,25,-2.910000000000000,-79.81000000000000,2
Guayas,4387434,Balzar,60260,1011,34,-1.360000000000000,-79.90000000000001,2
Guayas,4387434,Colimes,26169,352,13,-1.550000000000000,-80.01666700000000,2
Guayas,4387434,Coronel Marcelino Maridueña,13132,322,80,-2.200000000000000,-79.42000000000000,2
Guayas,4387434,Daule,173684,3391,178,-1.866667000000000,-79.98333300000000,2
Guayas,4387434,Durán,315724,6424,333,-2.166667000000000,-79.83333300000000,2
Guayas,4387434,El Triunfo,59636,1176,88,-2.330000000000000,-79.40000000000001,2
Guayas,4387434,Empalme,86073,1809,150,-1.046111000000000,-79.63361100000000,2
Guayas,4387434,General Antonio Elizalde,13156,680,17,-2.200000000000000,-79.17000000000000,2
Guayas,4387434,Guayaquil,2723665,98191,7774,-2.183333000000000,-79.88333299999999,2
Guayas,4387434,Isidro Ayora,14582,188,8,-1.883333000000000,-80.16666700000000,2
Guayas,4387434,Lomas de Sargentillo,24220,213,9,-1.883333000000000,-80.08333300000000,2
Guayas,4387434,Milagro,199835,6511,617,-2.126944000000000,-79.59916699999999,2
Guayas,4387434,Naranjal,95052,1966,58,-2.672800000000000,-79.61499999999999,2
Guayas,4387434,Naranjito,43862,801,78,-2.173000000000000,-79.46710000000000,2
Guayas,4387434,Nobol,26444,192,12,-1.916671000000000,-80.01153900000000,2
Guayas,4387434,Palestina,18451,222,1,-1.626300000000000,-79.97700000000000,2
Guayas,4387434,Pedro Carbo,51802,1194,30,-1.833333000000000,-80.23333300000000,2
Guayas,4387434,Playas,59628,770,9,-2.623330000000000,-80.38750000000000,2
Guayas,4387434,Salitre,65765,1456,38,-1.829444000000000,-79.81555600000000,2
Guayas,4387434,Samborondón,102404,3266,164,-2.183333000000000,-79.88333299999999,2
