inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
23,Sto. Domingo Tsáchilas,511151,15254,56,-0.2541670000000000,-79.17194400000000,30/01/2022
21,Sucumbíos,230503,8192,41,0.08472200000000002,-76.88277800000000,30/01/2022
18,Tungurahua,590600,22378,278,-1.241667000000000,-78.61972200000000,30/01/2022
19,Zamora Chinchipe,120416,4528,7,-4.120000000000000,-78.80000000000000,30/01/2022
01,Azuay,881394,34330,101,-2.897414000000000,-79.00448100000000,31/01/2022
02,Bolívar,209933,10429,14,-1.605556000000000,-79.00305600000000,31/01/2022
04,Carchi,186869,11843,22,0.8121800000000000,-77.71633000000000,31/01/2022
03,Cañar,281396,11577,73,-2.733333000000000,-78.83333300000000,31/01/2022
06,Chimborazo,524004,13921,74,-1.674347000000000,-78.64829400000001,31/01/2022
05,Cotopaxi,488716,16152,32,-0.9333330000000000,-78.61666700000001,31/01/2022
07,El Oro,715751,43131,177,-3.266667000000000,-79.96666700000000,31/01/2022
08,Esmeraldas,591083,13086,6,1.050000000000000,-79.20000000000000,31/01/2022
20,Galápagos,33042,2733,28,-0.7999999999999999,-89.40000000000001,31/01/2022
09,Guayas,4387434,122515,91,-2.183333000000000,-79.88333299999999,31/01/2022
10,Imbabura,476257,24163,72,0.3626780000000000,-78.13066700000000,31/01/2022
11,Loja,521154,26436,62,-3.983333000000000,-79.20000000000000,31/01/2022
12,Los Ríos,921763,16606,13,-1.800000000000000,-79.53333300000000,31/01/2022
13,Manabí,1562079,49703,44,-1.056181000000000,-80.45521700000000,31/01/2022
14,Morona Santiago,196535,9337,17,-2.300000000000000,-78.11666700000001,31/01/2022
15,Napo,133705,6191,17,-0.9890000000000000,-77.81590000000000,31/01/2022
22,Orellana,161338,5223,19,-0.4666670000000000,-76.96666700000000,31/01/2022
16,Pastaza,114202,4533,19,-1.066667000000000,-78.00111099999999,31/01/2022
17,Pichincha,3228233,253393,1142,-0.2186110000000000,-78.50972200000000,31/01/2022
24,Santa Elena,401178,6131,2,-2.226700000000000,-80.85830000000000,31/01/2022
23,Sto. Domingo Tsáchilas,511151,15300,46,-0.2541670000000000,-79.17194400000000,31/01/2022
21,Sucumbíos,230503,8269,77,0.08472200000000002,-76.88277800000000,31/01/2022
18,Tungurahua,590600,22495,117,-1.241667000000000,-78.61972200000000,31/01/2022
19,Zamora Chinchipe,120416,4541,13,-4.120000000000000,-78.80000000000000,31/01/2022
01,Azuay,881394,34605,275,-2.897414000000000,-79.00448100000000,01/02/2022
02,Bolívar,209933,10493,64,-1.605556000000000,-79.00305600000000,01/02/2022
04,Carchi,186869,11885,42,0.8121800000000000,-77.71633000000000,01/02/2022
03,Cañar,281396,11740,163,-2.733333000000000,-78.83333300000000,01/02/2022
06,Chimborazo,524004,14136,215,-1.674347000000000,-78.64829400000001,01/02/2022
05,Cotopaxi,488716,16312,160,-0.9333330000000000,-78.61666700000001,01/02/2022
07,El Oro,715751,43536,405,-3.266667000000000,-79.96666700000000,01/02/2022
08,Esmeraldas,591083,13145,59,1.050000000000000,-79.20000000000000,01/02/2022
20,Galápagos,33042,2757,24,-0.7999999999999999,-89.40000000000001,01/02/2022
09,Guayas,4387434,123436,921,-2.183333000000000,-79.88333299999999,01/02/2022
10,Imbabura,476257,24436,273,0.3626780000000000,-78.13066700000000,01/02/2022
11,Loja,521154,26798,362,-3.983333000000000,-79.20000000000000,01/02/2022
12,Los Ríos,921763,16661,55,-1.800000000000000,-79.53333300000000,01/02/2022
13,Manabí,1562079,50192,489,-1.056181000000000,-80.45521700000000,01/02/2022
14,Morona Santiago,196535,9409,72,-2.300000000000000,-78.11666700000001,01/02/2022
15,Napo,133705,6203,12,-0.9890000000000000,-77.81590000000000,01/02/2022
22,Orellana,161338,5241,18,-0.4666670000000000,-76.96666700000000,01/02/2022
