provincia,poblacion,total,acumuladas,lat,lng,semana
Tungurahua,590600,66,762,-1.241667000000000,-78.61972200000000,14
Zamora Chinchipe,120416,5,78,-4.120000000000000,-78.80000000000000,14
Azuay,881394,91,1200,-2.897414000000000,-79.00448100000000,15
Bolívar,209933,32,272,-1.605556000000000,-79.00305600000000,15
Carchi,186869,13,196,0.8121800000000000,-77.71633000000000,15
Cañar,281396,53,372,-2.733333000000000,-78.83333300000000,15
Chimborazo,524004,99,795,-1.674347000000000,-78.64829400000001,15
Cotopaxi,488716,40,529,-0.9333330000000000,-78.61666700000001,15
El Oro,715751,149,1116,-3.266667000000000,-79.96666700000000,15
Esmeraldas,591083,43,486,1.050000000000000,-79.20000000000000,15
Galápagos,33042,2,15,-0.7999999999999999,-89.40000000000001,15
Guayas,4387434,4205,17350,-2.183333000000000,-79.88333299999999,15
Imbabura,476257,42,559,0.3626780000000000,-78.13066700000000,15
Loja,521154,50,657,-3.983333000000000,-79.20000000000000,15
Los Ríos,921763,225,1318,-1.800000000000000,-79.53333300000000,15
Manabí,1562079,411,2424,-1.056181000000000,-80.45521700000000,15
Morona Santiago,196535,7,158,-2.300000000000000,-78.11666700000001,15
Napo,133705,5,92,-0.9890000000000000,-77.81590000000000,15
Orellana,161338,7,113,-0.4666670000000000,-76.96666700000000,15
Pastaza,114202,5,103,-1.066667000000000,-78.00111099999999,15
Pichincha,3228233,301,4037,-0.2186110000000000,-78.50972200000000,15
Santa Elena,401178,346,933,-2.226700000000000,-80.85830000000000,15
Sto. Domingo Tsáchilas,511151,62,706,-0.2541670000000000,-79.17194400000000,15
Sucumbíos,230503,11,184,0.08472200000000002,-76.88277800000000,15
Tungurahua,590600,59,821,-1.241667000000000,-78.61972200000000,15
Zamora Chinchipe,120416,9,87,-4.120000000000000,-78.80000000000000,15
Azuay,881394,82,1282,-2.897414000000000,-79.00448100000000,16
Bolívar,209933,24,296,-1.605556000000000,-79.00305600000000,16
Carchi,186869,14,210,0.8121800000000000,-77.71633000000000,16
Cañar,281396,42,414,-2.733333000000000,-78.83333300000000,16
Chimborazo,524004,70,865,-1.674347000000000,-78.64829400000001,16
Cotopaxi,488716,44,573,-0.9333330000000000,-78.61666700000001,16
El Oro,715751,162,1278,-3.266667000000000,-79.96666700000000,16
Esmeraldas,591083,40,526,1.050000000000000,-79.20000000000000,16
Galápagos,33042,0,15,-0.7999999999999999,-89.40000000000001,16
Guayas,4387434,2350,19700,-2.183333000000000,-79.88333299999999,16
Imbabura,476257,39,598,0.3626780000000000,-78.13066700000000,16
Loja,521154,40,697,-3.983333000000000,-79.20000000000000,16
Los Ríos,921763,226,1544,-1.800000000000000,-79.53333300000000,16
Manabí,1562079,458,2882,-1.056181000000000,-80.45521700000000,16
Morona Santiago,196535,9,167,-2.300000000000000,-78.11666700000001,16
Napo,133705,8,100,-0.9890000000000000,-77.81590000000000,16
Orellana,161338,8,121,-0.4666670000000000,-76.96666700000000,16
Pastaza,114202,3,106,-1.066667000000000,-78.00111099999999,16
Pichincha,3228233,282,4319,-0.2186110000000000,-78.50972200000000,16
Santa Elena,401178,324,1257,-2.226700000000000,-80.85830000000000,16
Sto. Domingo Tsáchilas,511151,62,768,-0.2541670000000000,-79.17194400000000,16
Sucumbíos,230503,15,199,0.08472200000000002,-76.88277800000000,16
Tungurahua,590600,67,888,-1.241667000000000,-78.61972200000000,16
Zamora Chinchipe,120416,2,89,-4.120000000000000,-78.80000000000000,16
Azuay,881394,77,1359,-2.897414000000000,-79.00448100000000,17
Bolívar,209933,22,318,-1.605556000000000,-79.00305600000000,17
Carchi,186869,13,223,0.8121800000000000,-77.71633000000000,17
Cañar,281396,37,451,-2.733333000000000,-78.83333300000000,17
Chimborazo,524004,81,946,-1.674347000000000,-78.64829400000001,17
Cotopaxi,488716,37,610,-0.9333330000000000,-78.61666700000001,17
El Oro,715751,185,1463,-3.266667000000000,-79.96666700000000,17
