provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
El Oro,715751,Zaruma,25654,11,27,-3.433333000000000,-79.59999999999999,2
Esmeraldas,591083,Atacames,55495,10,24,0.8666670000000000,-79.83333300000000,2
Esmeraldas,591083,Eloy Alfaro,45629,4,9,1.250000000000000,-79,2
Esmeraldas,591083,Esmeraldas,218727,120,215,1.050000000000000,-79.20000000000000,2
Esmeraldas,591083,Muisne,31106,7,10,0.6067000000000000,-80.01830000000000,2
Esmeraldas,591083,Quinindé,145879,35,70,0.3300000000000000,-79.48000000000000,2
Esmeraldas,591083,Rioverde,31475,7,17,1.060200000000000,-79.40440000000000,2
Esmeraldas,591083,San Lorenzo,62772,12,26,1.265800000000000,-78.84139999999999,2
Galápagos,33042,Isabela,3073,0,0,-0.4724000000000000,-90.68110000000000,2
Galápagos,33042,San Cristóbal,9667,3,12,-0.7999999999999999,-89.40000000000001,2
Galápagos,33042,Santa Cruz,20302,3,6,-0.6333330000000000,-90.36666700000001,2
Guayas,4387434,Alfredo Baquerizo Moreno,32110,9,19,-1.916667000000000,-79.51666700000000,2
Guayas,4387434,Balao,26348,6,16,-2.910000000000000,-79.81000000000000,2
Guayas,4387434,Balzar,60260,21,42,-1.360000000000000,-79.90000000000001,2
Guayas,4387434,Colimes,26169,1,10,-1.550000000000000,-80.01666700000000,2
Guayas,4387434,Coronel Marcelino Maridueña,13132,3,5,-2.200000000000000,-79.42000000000000,2
Guayas,4387434,Daule,173684,57,130,-1.866667000000000,-79.98333300000000,2
Guayas,4387434,Durán,315724,59,126,-2.166667000000000,-79.83333300000000,2
Guayas,4387434,El Triunfo,59636,22,42,-2.330000000000000,-79.40000000000001,2
Guayas,4387434,Empalme,86073,36,67,-1.046111000000000,-79.63361100000000,2
Guayas,4387434,General Antonio Elizalde,13156,6,14,-2.200000000000000,-79.17000000000000,2
Guayas,4387434,Guayaquil,2723665,1876,3899,-2.183333000000000,-79.88333299999999,2
Guayas,4387434,Isidro Ayora,14582,3,6,-1.883333000000000,-80.16666700000000,2
Guayas,4387434,Lomas de Sargentillo,24220,5,10,-1.883333000000000,-80.08333300000000,2
Guayas,4387434,Milagro,199835,153,322,-2.126944000000000,-79.59916699999999,2
