inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,total,lat,lng,created_at
18,Tungurahua,590600,1809,Tisaleo,14317,0,-1.350000000000000,-78.66666700000000,16/04/2020
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,0,-3.894910000000000,-78.78140999999999,16/04/2020
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,0,-4.862800000000000,-79.13280000000000,16/04/2020
19,Zamora Chinchipe,120416,1906,El Pangui,10945,0,-3.624900000000000,-78.58710000000001,16/04/2020
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,0,-4.048333000000000,-78.68222200000000,16/04/2020
19,Zamora Chinchipe,120416,1908,Palanda,10144,0,-4.649800000000000,-79.13209999999999,16/04/2020
19,Zamora Chinchipe,120416,1909,Paquisha,5992,0,-3.932750000000000,-78.67426000000000,16/04/2020
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,0,-3.634440000000000,-78.92810000000000,16/04/2020
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,0,-3.850000000000000,-78.75000000000000,16/04/2020
19,Zamora Chinchipe,120416,1901,Zamora,32761,0,-4.120000000000000,-78.80000000000000,16/04/2020
17,Pichincha,3228233,1705,Rumiñahui,115433,3,-0.3345000000000000,-78.44750000000001,16/04/2020
1,Azuay,881394,115,Camilo Ponce Enríquez,36423,0,-3.050000000000000,-79.73333300000000,17/04/2020
1,Azuay,881394,111,Chordeleg,15176,0,-2.933333000000000,-78.76666700000000,17/04/2020
1,Azuay,881394,101,Cuenca,636996,6,-2.897414000000000,-79.00448100000000,17/04/2020
1,Azuay,881394,112,El Pan,3091,0,-2.786111000000000,-78.66500000000001,17/04/2020
1,Azuay,881394,102,Girón,13037,0,-3.159028000000000,-79.14756800000001,17/04/2020
1,Azuay,881394,114,Guachapala,3859,0,-2.769000000000000,-78.70900000000000,17/04/2020
1,Azuay,881394,103,Gualaceo,49104,1,-2.900000000000000,-78.78333300000000,17/04/2020
1,Azuay,881394,104,Nabón,17292,0,-3.336060000000000,-79.06368000000001,17/04/2020
1,Azuay,881394,110,Oña,4128,0,-3.469640000000000,-79.15431000000000,17/04/2020
1,Azuay,881394,105,Paute,29214,0,-2.781800000000000,-78.76000000000001,17/04/2020
1,Azuay,881394,106,Pucará,10584,0,-3.233780000000000,-79.46120000000001,17/04/2020
1,Azuay,881394,107,San Fernando,4156,0,-3.144500000000000,-79.25200000000000,17/04/2020
1,Azuay,881394,108,Santa Isabel,20935,1,-3.274170000000000,-79.31560000000000,17/04/2020
1,Azuay,881394,113,Sevilla de Oro,6890,0,-2.799833000000000,-78.65569400000000,17/04/2020
1,Azuay,881394,109,Sígsig,30509,0,-3.089700000000000,-78.80320000000000,17/04/2020
2,Bolívar,209933,206,Caluma,16429,1,-1.633330000000000,-79.25000000000000,17/04/2020
2,Bolívar,209933,202,Chillanes,16850,0,-1.933333000000000,-79.06666700000000,17/04/2020
2,Bolívar,209933,203,Chimbo,17378,1,-1.700000000000000,-79.01666700000000,17/04/2020
2,Bolívar,209933,204,Echeandía,14081,0,-1.433330000000000,-79.26667000000000,17/04/2020
2,Bolívar,209933,201,Guaranda,108763,1,-1.605556000000000,-79.00305600000000,17/04/2020
2,Bolívar,209933,207,Las Naves,7428,0,-1.283330000000000,-79.30000000000000,17/04/2020
2,Bolívar,209933,205,San Miguel,29004,0,-1.700000000000000,-79.03333300000000,17/04/2020
4,Carchi,186869,402,Bolivar,15528,0,0.5070990000000000,-77.86245400000000,17/04/2020
4,Carchi,186869,403,Espejo,13817,0,0.6210000000000000,-77.94000000000000,17/04/2020
4,Carchi,186869,404,Mira,11969,0,0.5538999999999998,-78.04930000000000,17/04/2020
4,Carchi,186869,405,Montúfar,34229,0,0.6100000000000000,-77.84000000000000,17/04/2020
4,Carchi,186869,406,San Pedro de Huaca,8931,0,0.6311110000000000,-77.72527800000000,17/04/2020
4,Carchi,186869,401,Tulcán,102395,0,0.8121800000000000,-77.71633000000000,17/04/2020
3,Cañar,281396,301,Azogues,86276,5,-2.733333000000000,-78.83333300000000,17/04/2020
3,Cañar,281396,302,Biblían,23741,0,-2.710000000000000,-78.88000000000000,17/04/2020
3,Cañar,281396,303,Cañar,68747,1,-2.483700000000000,-78.97839999999999,17/04/2020
3,Cañar,281396,306,Déleg,6782,0,-2.772600000000000,-78.91830000000000,17/04/2020
