provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,0,3,5,15,25,29,33,33,42,42
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,0,4,10,26,70,95,122,124,124,125
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,0,0,0,0,0,17,89,92,99,99
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,0,0,7,70,102,113,140,150,150,150
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,1,13,16,26,37,44,46,49,49
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,0,0,0,1,9,11,12,17,20,21
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,3,6,15,39,55,66,68,72,72
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,0,0,8,41,73,83,83,84,85,85
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,1,5,55,198,306,363,413,445,455,461
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,1,31,87,169,320,458,520,551,556,559
