provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,926,926,926
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,163,163,163
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,228,228,228
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,152,152,152
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,677,677,678
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,116,116,116
Loja,521154,Zapotillo,14325,-4.386360000000000,-80.24360000000000,248,248,248
Los Ríos,921763,Baba,43429,-1.784167000000000,-79.67666699999999,378,378,378
Los Ríos,921763,Babahoyo,175281,-1.800000000000000,-79.53333300000000,4100,4101,4104
Los Ríos,921763,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,869,871,871
Los Ríos,921763,Mocache,43316,-1.183850000000000,-79.50552999999999,162,162,162
Los Ríos,921763,Montalvo,28720,-1.793800000000000,-79.28570000000001,551,552,553
Los Ríos,921763,Palenque,23638,-1.432800000000000,-79.74950000000000,405,405,405
Los Ríos,921763,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,409,410,411
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,2886,2892,2897
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,367,367,367
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,558,558,558
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,638,638,645
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,1450,1450,1451
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,1086,1086,1091
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,880,881,887
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,4234,4236,4241
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,1189,1191,1192
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,463,463,463
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,239,239,239
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,244,245,245
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,1965,1974,1982
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,520,521,521
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,5014,5016,5021
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,906,908,909
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,481,482,483
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,584,584,585
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,734,734,734
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,590,591,591
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,11918,11959,11994
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,523,525,525
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,1564,1567,1568
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,519,519,519
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,1292,1296,1298
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,1655,1657,1657
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,806,807,809
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,975,976,981
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,1074,1075,1076
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,126,126,126
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,450,451,452
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,186,186,187
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,3264,3264,3264
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,92,92,92
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,484,484,484
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,129,129,129
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,366,366,367
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,968,969,969
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,248,248,248
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,101,101,101
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,548,548,548
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,99,99,99
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,528,528,528
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,490,490,493
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,2966,2966,2966
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,517,517,520
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,773,776,776
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,192,192,192
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,2742,2746,2748
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,157,157,157
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,857,857,858
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,2769,2770,2776
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,151,151,151
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,1980,1981,1982
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,4278,4282,4283
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,529,529,529
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,442,442,442
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,553,553,553
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,187842,188103,188353
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,6681,6689,6698
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,749,752,752
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,1557,1558,1561
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,1123,1125,1129
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,2049,2054,2060
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,1594,1598,1600
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,11662,11688,11694
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,309,309,309
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,359,359,360
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,360,360,360
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,3884,3885,3887
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,313,314,314
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,1441,1441,1441
