provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,4423,3005,231
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,176,124,7
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,70,50,0
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,42,18,3
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,221,104,6
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,428,223,8
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,196,105,1
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,73,37,10
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,84,45,2
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,77,39,4
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,76,37,4
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,164,95,7
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,86,31,1
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,26,29,0
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,61,22,2
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,31,7,2
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,405,133,34
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,337,134,22
