provincia,canton,total,acumuladas,lat,lng,semana
El Oro,Marcabelí,0,0,-3.786000000000002,-79.89780000000000,2
El Oro,Pasaje,4,11,-3.326900000000000,-79.80490000000000,2
El Oro,Piñas,2,4,-3.666667000000000,-79.65000000000001,2
El Oro,Portovelo,2,2,-3.720000000000000,-79.62000000000000,2
El Oro,Santa Rosa,4,11,-3.452222000000000,-79.96166700000001,2
El Oro,Zaruma,3,5,-3.433333000000000,-79.59999999999999,2
Esmeraldas,Atacames,3,3,0.8666670000000000,-79.83333300000000,2
Esmeraldas,Eloy Alfaro,0,1,1.250000000000000,-79,2
Esmeraldas,Esmeraldas,12,27,1.050000000000000,-79.20000000000000,2
Esmeraldas,Muisne,0,1,0.6067000000000000,-80.01830000000000,2
Esmeraldas,Quinindé,5,9,0.3300000000000000,-79.48000000000000,2
Esmeraldas,Rioverde,0,1,1.060200000000000,-79.40440000000000,2
Esmeraldas,San Lorenzo,1,2,1.265800000000000,-78.84139999999999,2
Galápagos,Isabela,0,0,-0.4724000000000000,-90.68110000000000,2
Galápagos,San Cristóbal,0,1,-0.7999999999999999,-89.40000000000001,2
Galápagos,Santa Cruz,0,0,-0.6333330000000000,-90.36666700000001,2
Guayas,Alfredo Baquerizo Moreno,1,2,-1.916667000000000,-79.51666700000000,2
Guayas,Balao,0,0,-2.910000000000000,-79.81000000000000,2
Guayas,Balzar,5,6,-1.360000000000000,-79.90000000000001,2
Guayas,Colimes,3,4,-1.550000000000000,-80.01666700000000,2
Guayas,Coronel Marcelino Maridueña,1,1,-2.200000000000000,-79.42000000000000,2
Guayas,Daule,8,18,-1.866667000000000,-79.98333300000000,2
Guayas,Durán,4,11,-2.166667000000000,-79.83333300000000,2
Guayas,El Triunfo,4,5,-2.330000000000000,-79.40000000000001,2
Guayas,Empalme,6,17,-1.046111000000000,-79.63361100000000,2
Guayas,General Antonio Elizalde,0,0,-2.200000000000000,-79.17000000000000,2
Guayas,Guayaquil,319,630,-2.183333000000000,-79.88333299999999,2
Guayas,Isidro Ayora,1,1,-1.883333000000000,-80.16666700000000,2
Guayas,Lomas de Sargentillo,2,2,-1.883333000000000,-80.08333300000000,2
Guayas,Milagro,21,42,-2.126944000000000,-79.59916699999999,2
Guayas,Naranjal,3,6,-2.672800000000000,-79.61499999999999,2
Guayas,Naranjito,2,5,-2.173000000000000,-79.46710000000000,2
Guayas,Nobol,1,3,-1.916671000000000,-80.01153900000000,2
Guayas,Palestina,0,2,-1.626300000000000,-79.97700000000000,2
Guayas,Pedro Carbo,5,7,-1.833333000000000,-80.23333300000000,2
Guayas,Playas,2,6,-2.623330000000000,-80.38750000000000,2
Guayas,Salitre,3,6,-1.829444000000000,-79.81555600000000,2
Guayas,Samborondón,2,5,-2.183333000000000,-79.88333299999999,2
Guayas,San Jacinto De Yaguachi,21,25,-2.120000000000000,-79.69000000000000,2
Guayas,Santa Lucía,5,6,-1.713889000000000,-79.98500000000000,2
Guayas,Simón Bolivar,1,2,-2.156667000000000,-79.88750000000000,2
Imbabura,Antonio Ante,4,11,0.3200000000000000,-78.20999999999999,2
Imbabura,Cotacachi,4,5,0.3000000000000000,-78.26666700000000,2
Imbabura,Ibarra,28,50,0.3626780000000000,-78.13066700000000,2
Imbabura,Otavalo,7,11,0.2333330000000000,-78.26666700000000,2
Imbabura,Pimampiro,1,2,0.4000000000000000,-77.97000000000000,2
Imbabura,San Miguel de Urcuquí,0,0,0.5200000000000000,-78.20000000000000,2
Loja,Calvas,1,2,-4.320000000000000,-79.56000000000000,2
Loja,Catamayo,2,3,-3.980000000000000,-79.34999999999999,2
Loja,Celica,3,3,-4.102500000000000,-79.95444400000000,2
Loja,Chaguarpamba,1,1,-3.850000000000000,-79.65000000000001,2
Loja,Espíndola,1,2,-4.583056000000000,-79.42694400000001,2
Loja,Gonzanamá,1,1,-4.231389000000000,-79.43527800000000,2
Loja,Loja,31,50,-3.983333000000002,-79.20000000000000,2
Loja,Macará,2,3,-4.383333000000000,-79.95000000000000,2
Loja,Olmedo,2,3,-3.934000000000000,-79.64800000000000,2
Loja,Paltas,2,2,-4.050000000000002,-79.65000000000001,2
Loja,Pindal,0,1,-4.116100000000000,-80.10760000000001,2
Loja,Puyango,3,3,-3.870000000000000,-80.09000000000000,2
Loja,Quilanga,0,1,-4.298000000000000,-79.39860000000000,2
Loja,Saraguro,7,10,-3.625300000000000,-79.24110000000000,2
Loja,Sozoranga,0,0,-4.327778000000000,-79.78972200000000,2
Loja,Zapotillo,2,4,-4.386360000000002,-80.24360000000000,2
Los Ríos,Baba,3,6,-1.784167000000000,-79.67666699999999,2
Los Ríos,Babahoyo,16,39,-1.800000000000000,-79.53333300000000,2
Los Ríos,Buena Fe,8,12,-0.8985719999999999,-79.48891600000000,2
Los Ríos,Mocache,3,6,-1.183850000000000,-79.50552999999999,2
