inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
13,Manabí,1317,Pedernales,0.07010000000000000,-80.05360000000000,23,12,8,5,10,7,9,8,9,9,9,16
13,Manabí,1311,Pichincha,-1.047300000000000,-79.81860000000000,11,6,7,5,9,7,7,7,5,8,1,8
13,Manabí,1301,Portoviejo,-1.056181000000000,-80.45521700000000,175,148,163,136,131,153,128,137,152,157,168,131
13,Manabí,1319,Puerto López,-1.566667000000000,-80.81666700000000,2,4,11,12,3,6,10,5,7,5,4,6
13,Manabí,1312,Rocafuerte,-0.9200000000000000,-80.45999999999999,12,15,12,9,15,12,6,12,14,16,8,10
13,Manabí,1322,San Vicente,-0.5893000000000000,-80.40880000000000,9,9,7,5,2,6,7,7,3,8,4,6
13,Manabí,1313,Santa Ana,-1.206900000000000,-80.37090000000001,12,11,16,10,10,12,13,16,11,12,17,12
13,Manabí,1314,Sucre,-0.6000000000000000,-80.41666700000000,24,17,23,25,23,20,14,21,24,23,18,18
13,Manabí,1315,Tosagua,-0.7800000000000000,-80.26000000000001,8,9,11,14,8,11,11,13,2,13,13,7
13,Manabí,1316,Veinticuatro de Mayo,-1.278889000000000,-80.42000000000000,5,11,8,16,11,9,12,9,10,9,12,6
14,Morona Santiago,1402,Gualaquiza,-3.380000000000000,-78.58000000000000,5,8,7,9,5,2,5,3,6,6,8,6
14,Morona Santiago,1407,Huamboya,-1.785000000000000,-78.23194400000000,0,1,2,1,1,2,1,1,0,4,1,0
14,Morona Santiago,1403,Limón Indanza,-2.966250000000000,-78.43052800000000,2,3,3,2,2,4,1,5,4,1,0,1
14,Morona Santiago,1410,Logroño,-2.624800000000000,-78.18960000000000,1,1,2,1,3,2,0,1,1,1,5,1
14,Morona Santiago,1401,Morona,-2.300000000000000,-78.11666700000001,21,10,25,17,15,14,4,16,19,15,17,24
14,Morona Santiago,1404,Palora,-1.700000000000000,-77.94000000000000,0,0,1,1,1,2,4,3,2,2,1,2
