inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
13,Manabí,1322,San Vicente,-0.5893000000000000,-80.40880000000000,4,7,14,16,19,22,28,32,38,42,47,49
13,Manabí,1313,Santa Ana,-1.206900000000000,-80.37090000000001,15,29,51,63,76,85,90,101,115,130,139,150
13,Manabí,1314,Sucre,-0.6000000000000000,-80.41666700000000,21,52,86,107,132,153,173,193,215,234,262,280
13,Manabí,1315,Tosagua,-0.7800000000000000,-80.26000000000001,19,28,34,47,58,71,81,94,97,107,119,131
13,Manabí,1316,Veinticuatro de Mayo,-1.278889000000000,-80.42000000000000,6,14,20,30,41,49,60,70,79,89,100,105
14,Morona Santiago,1402,Gualaquiza,-3.380000000000000,-78.58000000000000,6,14,21,27,32,35,40,44,51,59,66,73
14,Morona Santiago,1407,Huamboya,-1.785000000000000,-78.23194400000000,3,7,7,9,9,10,14,14,17,19,22,23
14,Morona Santiago,1403,Limón Indanza,-2.966250000000000,-78.43052800000000,3,8,9,11,12,14,14,16,16,16,29,31
14,Morona Santiago,1410,Logroño,-2.624800000000000,-78.18960000000000,2,2,3,3,4,4,5,5,7,10,11,11
14,Morona Santiago,1401,Morona,-2.300000000000000,-78.11666700000001,22,41,56,74,88,100,115,133,149,162,175,187
14,Morona Santiago,1411,Pablo Sexto,-1.803056000000000,-77.92111100000000,0,0,0,0,0,0,1,1,1,1,1,1
14,Morona Santiago,1404,Palora,-1.700000000000000,-77.94000000000000,2,2,2,7,10,11,11,12,14,15,17,19
14,Morona Santiago,1408,San Juan Bosco,-3.092300000000000,-78.51320000000000,2,2,3,4,6,6,6,6,6,7,7,10
14,Morona Santiago,1405,Santiago,-3.429800000000000,-78.56560000000000,3,5,7,8,9,12,13,16,18,19,19,22
14,Morona Santiago,1406,Sucúa,-2.460000000000000,-78.17000000000000,5,12,19,21,27,32,38,45,49,54,65,71
14,Morona Santiago,1409,Taisha,-2.339950000000000,-77.45808000000000,7,11,12,15,17,20,24,24,31,34,36,37
14,Morona Santiago,1412,Tiwintza,-2.917670000000000,-77.80170000000000,1,3,3,4,4,5,5,7,7,9,9,9
15,Napo,1503,Archidona,-0.9166670000000000,-77.78333300000000,9,12,19,29,35,37,43,51,62,67,77,82
