inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
07,El Oro,0714,Las Lajas,-3.785000000000000,-80.06166700000000,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
07,El Oro,0701,Machala,-3.266667000000000,-79.96666700000000,41,31,33,36,33,24,32,29,28,26,29,27,35,23,24,21,21,32,29,32,25,25,20,25,27,19,32,28,36,34,31,31,34,26,34,21,32,24,23,35,37,27,41,28,29,22,34,23,24,35,30,30
07,El Oro,0708,Marcabelí,-3.786000000000000,-79.89780000000000,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1,1,0,1,1,1,0,0,0
07,El Oro,0709,Pasaje,-3.326900000000000,-79.80490000000000,8,5,3,4,5,5,8,1,7,8,10,4,5,11,6,7,0,4,8,4,7,4,5,10,4,6,6,5,6,5,6,4,7,6,7,6,4,5,6,8,13,6,5,5,2,5,4,3,8,4,7,2
07,El Oro,0710,Piñas,-3.666667000000000,-79.65000000000001,3,5,5,4,2,3,3,4,2,5,4,4,4,1,5,5,5,7,4,5,6,0,4,4,3,3,2,5,12,7,1,2,3,3,6,6,5,1,5,7,5,5,4,6,3,4,4,3,4,8,3,3
07,El Oro,0711,Portovelo,-3.720000000000000,-79.62000000000000,1,2,2,1,0,0,0,2,0,1,1,1,0,0,0,1,0,2,1,2,0,0,1,0,0,1,0,1,2,0,0,0,0,1,1,1,2,1,1,2,1,0,0,1,0,0,1,1,1,1,1,0
07,El Oro,0712,Santa Rosa,-3.452222000000000,-79.96166700000001,14,3,4,4,7,8,9,9,9,5,7,4,4,7,4,3,7,3,5,5,2,9,7,1,4,5,5,5,6,3,3,3,4,7,6,7,5,4,5,8,2,4,5,3,4,8,4,4,3,6,3,1
07,El Oro,0713,Zaruma,-3.433333000000000,-79.59999999999999,2,2,8,5,2,3,1,2,3,5,5,0,0,2,3,3,6,2,0,2,1,1,2,4,1,2,2,0,1,3,1,3,0,1,3,1,5,1,2,2,1,2,0,0,3,2,1,2,2,2,0,1
08,Esmeraldas,0806,Atacames,0.8666670000000000,-79.83333300000000,2,3,5,2,4,1,2,0,0,2,2,4,1,1,0,1,2,2,1,1,1,0,3,2,0,1,4,2,2,2,2,2,1,3,3,2,4,1,1,0,1,1,0,2,0,0,4,2,0,2,1,1
08,Esmeraldas,0802,Eloy Alfaro,1.250000000000000,-79,0,2,1,1,1,1,0,3,1,0,0,0,2,1,1,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,5,0,1,1,0,1,1,3,2,0,0,3,1,0,0
