provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,2,2,0,5,5,2,1,4,0,1,0,4
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000002,-76.88277800000000,29,37,28,23,35,35,29,29,28,41,37,27
Sucumbíos,230503,Putumayo,16106,0.09999999999999999,-75.84999999999999,4,0,5,2,2,2,0,1,0,2,3,2
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,9,15,10,9,9,8,6,10,6,8,13,7
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,0,0,0,0,0,1,0,0,1,0,0
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,179,157,200,155,183,188,162,151,134,119,108,139
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,4,6,7,5,2,4,8,11,9,12,3,7
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,1,1,5,1,1,4,2,1,5,0,0,0
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,2,1,1,4,5,3,0,0,2,4,3,1
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,6,7,0,4,2,6,3,2,4,1,4,3
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,16,14,15,21,12,24,22,14,14,13,15,18
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,21,16,11,10,10,16,19,12,15,16,11,15
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,7,7,6,6,5,3,4,3,5,2,7,1
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,2,3,2,4,3,5,2,2,2,7,1,0
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,1,0,4,1,2,3,4,4,1,2,1,0
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,1,2,2,3,2,1,2,1,2,3,3,2
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,0,3,2,1,0,2,1,2,1,3,3,0
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,2,0,0,1,4,0,2,2,0,2,2
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,0,1,3,1,2,2,1,1,2,3,1,1
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,4,2,1,1,2,1,0,2,0,1,0
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,0,0,1,1,2,2,1,0,2,0,1,0
