inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
17,Pichincha,3228233,1701,Quito,2781641,-0.218611,-78.509722,1033,915,994,952,952,888,963,895,903,998,934,1020
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345,-78.4475,29,25,26,25,29,22,24,23,20,23,19,26
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.023000000000000003,-78.892,1,2,6,1,1,7,5,6,3,4,2,2
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333,-80.9,28,22,30,20,17,23,21,12,14,17,24,14
24,Santa Elena,401178,2403,Salinas,94590,-2.216667,-80.95,24,18,36,29,18,27,25,25,24,24,25,19
24,Santa Elena,401178,2401,Santa Elena,188821,-2.2267,-80.8583,71,71,95,77,60,60,59,44,59,52,43,49
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.0023,-79.3846,14,10,8,14,9,17,16,13,11,4,10,11
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.254167,-79.171944,156,139,181,124,168,153,139,146,159,156,150,145
21,Sucumbíos,230503,2106,Cascales,15882,-0.0675,-77.216944,3,6,1,2,2,3,2,3,3,2,1,1
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.128889,-76.413889,1,0,0,3,2,1,1,2,0,0,0,4
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.047,-77.3228,2,2,0,5,5,2,1,4,0,1,0,4
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.08472200000000002,-76.882778,29,37,28,23,35,35,29,29,28,41,37,27
21,Sucumbíos,230503,2103,Putumayo,16106,0.09999999999999999,-75.85,4,0,5,2,2,2,0,1,0,2,3,2
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871,-76.645,9,15,10,9,9,8,6,10,6,8,13,7
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592,-77.523,1,0,0,0,0,0,1,0,0,1,0,0
18,Tungurahua,590600,1801,Ambato,387309,-1.241667,-78.619722,179,157,200,155,183,188,162,151,134,119,108,139
18,Tungurahua,590600,1802,Baños,25043,-1.396389,-78.424722,4,6,7,5,2,4,8,11,9,12,3,7
18,Tungurahua,590600,1803,Cevallos,9936,-1.35,-78.616667,1,1,5,1,1,4,2,1,5,0,0,0
18,Tungurahua,590600,1804,Mocha,7336,-1.4166670000000001,-78.666667,2,1,1,4,5,3,0,0,2,4,3,1
18,Tungurahua,590600,1805,Patate,15825,-1.316667,-78.516667,6,7,0,4,2,6,3,2,4,1,4,3
18,Tungurahua,590600,1807,Pelileo,66836,-1.3275000000000001,-78.540833,16,14,15,21,12,24,22,14,14,13,15,18
18,Tungurahua,590600,1808,Píllaro,43371,-1.1758330000000001,-78.555278,21,16,11,10,10,16,19,12,15,16,11,15
18,Tungurahua,590600,1806,Quero,20627,-1.3793000000000002,-78.607,7,7,6,6,5,3,4,3,5,2,7,1
18,Tungurahua,590600,1809,Tisaleo,14317,-1.35,-78.666667,2,3,2,4,3,5,2,2,2,7,1,0
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.8949100000000003,-78.78141,1,0,4,1,2,3,4,4,1,2,1,0
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.8628,-79.1328,1,2,2,3,2,1,2,1,2,3,3,2
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.6249000000000002,-78.5871,0,3,2,1,0,2,1,2,1,3,3,0
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333,-78.682222,0,2,0,0,1,4,0,2,2,0,2,2
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.6498,-79.1321,0,1,3,1,2,2,1,1,2,3,1,1
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.9327500000000004,-78.67426,0,4,2,1,1,2,1,0,2,0,1,0
