provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,15404,15404,15426,15437,15450,15460,15484,15484
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,16892,16892,16928,16935,16945,16952,16959,16967
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,24459,24459,24473,24492,24508,24523,24547,24547
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,29743,29743,29766,29784,29810,29836,29869,29869
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,11702,11702,11707,11715,11722,11732,11746,11746
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,5898,5898,5901,5905,5911,5917,5919,5919
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,13076,13076,13082,13091,13102,13113,13117,13117
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,11281,11281,11285,11289,11296,11299,11305,11305
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,224021,224021,224188,224387,224588,224766,224905,224972
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,17881,17890,17898,17907,17917,17938,17959,17959
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,4392,4392,4393,4394,4394,4400,4404,4404
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,19936,19936,19942,19955,19965,19979,19997,19997
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,10827,10827,10828,10829,10833,10840,10850,10850
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,16528,16528,16533,16544,16560,16570,16582,16582
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,3405,3405,3410,3410,3411,3411,3411,3411
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,23849,23849,23872,23896,23917,23958,23988,23988
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,4445,4445,4445,4446,4446,4450,4451,4451
