inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,90.35%,90.35%,90.62%,90.81%,90.95%,91.22%,91.43%,91.43%
13,Manabí,1562079,1320,Jama,26116,-0.2014000000000000,-80.26590000000000,58.15%,58.15%,58.28%,58.48%,58.68%,58.98%,59.25%,59.25%
13,Manabí,1562079,1321,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,153.08%,153.08%,153.36%,153.78%,154.21%,154.47%,154.91%,154.91%
13,Manabí,1562079,1306,Jipijapa,74645,-1.333330000000000,-80.58329999999999,85.09%,85.1%,85.36%,85.67%,85.97%,86.37%,86.74%,86.89%
13,Manabí,1562079,1307,Junín,18820,-0.9291600000000000,-80.20569000000000,98.26%,98.33%,98.61%,98.99%,99.33%,99.78%,100.14%,100.37%
13,Manabí,1562079,1308,Manta,264281,-0.9500220000000000,-80.71620000000000,95.72%,95.78%,96.03%,96.28%,96.76%,97.25%,97.59%,97.64%
13,Manabí,1562079,1309,Montecristi,107785,-1.033330000000000,-80.65000000000001,43.94%,43.94%,43.98%,44.15%,44.36%,44.55%,44.68%,44.68%
13,Manabí,1562079,1318,Olmedo,10194,-1.396111000000000,-80.20611100000001,94.09%,94.09%,94.52%,95.51%,96.04%,96.26%,96.33%,97.25%
13,Manabí,1562079,1310,Paján,37093,-1.570000000000000,-80.42000000000000,85.4%,85.42%,85.75%,86.03%,87.24%,87.87%,88.35%,88.51%
13,Manabí,1562079,1317,Pedernales,63441,0.07010000000000000,-80.05360000000000,68.69%,68.69%,68.75%,69%,69.34%,69.67%,70.06%,70.06%
13,Manabí,1562079,1311,Pichincha,29599,-1.047300000000000,-79.81860000000000,82.71%,82.72%,82.94%,83.31%,83.63%,83.89%,84.04%,84.19%
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181000000000,-80.45521700000000,81.1%,81.11%,81.21%,81.52%,81.82%,82.12%,82.4%,82.55%
13,Manabí,1562079,1319,Puerto López,24688,-1.566667000000000,-80.81666700000000,77.27%,77.28%,77.5%,77.79%,78.14%,78.46%,78.78%,78.88%
13,Manabí,1562079,1312,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,81.54%,81.54%,81.79%,82.1%,82.45%,82.92%,83.27%,83.27%
13,Manabí,1562079,1322,San Vicente,24799,-0.5893000000000000,-80.40880000000000,71.6%,71.6%,71.83%,72.15%,72.46%,72.78%,73.14%,73.14%
13,Manabí,1562079,1313,Santa Ana,48152,-1.206900000000000,-80.37090000000001,78.22%,78.22%,78.46%,79.07%,79.69%,80.02%,80.27%,80.48%
13,Manabí,1562079,1314,Sucre,62443,-0.6000000000000000,-80.41666700000000,85.73%,85.73%,85.92%,86.16%,86.38%,86.84%,87.19%,87.19%
13,Manabí,1562079,1315,Tosagua,42297,-0.7800000000000000,-80.26000000000001,75.17%,75.17%,75.51%,75.87%,76.26%,76.66%,76.94%,76.95%
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,86.12%,86.12%,86.44%,87.11%,87.89%,88.18%,88.37%,88.54%
