inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
05,Cotopaxi,488716,0501,Latacunga,205624,-0.9333330000000000,-78.61666700000001,17.61%,17.62%,18.3%,19.1%,19.92%,20.58%,21.55%,22.07%,11.18%,11.63%,11.99%,12.44%,13.11%,13.73%,13.98%,14.09%,15.42%,17.26%,19.03%,19.77%,21.46%,22.53%,22.62%,22.91%,23.39%,23.75%,24.23%,24.8%
05,Cotopaxi,488716,0503,Pangua,24612,-1.133333000000000,-79.06666700000000,10.59%,10.59%,10.95%,11.55%,11.97%,12.45%,12.78%,12.78%,6.39%,6.78%,7.25%,7.78%,8.17%,8.65%,8.65%,8.65%,8.8%,9.07%,9.44%,9.69%,9.86%,9.95%,9.95%,10.07%,10.17%,10.23%,10.34%,10.39%
05,Cotopaxi,488716,0504,Pujilí,79772,-0.9500000000000000,-78.69000000000000,11.47%,11.52%,12.03%,12.73%,13.31%,13.99%,14.63%,14.87%,7.7%,8.16%,8.7%,9.26%,9.66%,9.95%,10.05%,10.14%,10.37%,10.64%,11.17%,11.72%,12.36%,12.48%,12.58%,12.72%,13%,13.28%,13.53%,13.8%
05,Cotopaxi,488716,0505,Salcedo,67100,-1.050000000000000,-78.58333300000000,18.74%,18.81%,20.01%,21.22%,22.6%,24.04%,25.26%,25.3%,12.7%,13.88%,14.72%,15.55%,16.13%,16.87%,16.97%,17.04%,17.63%,18.08%,18.45%,18.75%,19.28%,19.34%,19.37%,19.69%,19.89%,20.03%,20.2%,20.36%
05,Cotopaxi,488716,0506,Saquisilí,31426,-0.8300000000000000,-78.67000000000000,12.98%,13.04%,13.62%,14.3%,14.84%,15.68%,16.83%,17.15%,8.77%,9.17%,9.64%,10.01%,10.28%,11.03%,11.21%,11.37%,11.63%,11.99%,12.24%,12.61%,13.03%,13.15%,13.28%,13.59%,13.9%,14.03%,14.32%,14.56%
05,Cotopaxi,488716,0507,Sigchos,23277,-0.7000000000000000,-78.88333299999999,10.15%,10.15%,10.34%,10.98%,11.68%,12.18%,12.39%,12.57%,6.54%,6.9%,7.48%,7.68%,7.93%,8.35%,8.44%,8.51%,8.71%,8.89%,9.08%,9.31%,9.51%,9.56%,9.62%,9.8%,9.93%,10.14%,10.47%,10.57%
07,El Oro,715751,0702,Arenillas,33473,-3.550000000000000,-80.06000000000000,12.83%,12.86%,13.41%,14.1%,14.91%,15.8%,16.65%,16.65%,8.33%,9.07%,9.58%,9.92%,10.29%,10.65%,10.65%,10.71%,10.94%,11.21%,11.36%,11.6%,11.95%,11.95%,11.98%,12.67%,13.52%,14.17%,14.61%,15.25%
07,El Oro,715751,0703,Atahualpa,6436,-2.900000000000000,-78.93333300000000,27%,27%,28.84%,29.8%,33.03%,34.4%,35.8%,35.89%,17.95%,19.11%,20.29%,20.42%,21.22%,21.33%,21.33%,21.33%,24.15%,25.44%,26.04%,26.6%,28.12%,28.12%,28.12%,28.4%,28.9%,29.16%,29.38%,29.8%
07,El Oro,715751,0704,Balsas,9233,-3.762600000000000,-79.82530000000000,11.11%,11.11%,11.39%,11.74%,12.3%,13.02%,13.56%,13.56%,6.78%,7.17%,7.62%,8.11%,8.48%,8.59%,8.59%,8.59%,8.96%,9.17%,9.37%,9.56%,9.79%,9.79%,9.79%,10%,10.07%,10.17%,10.38%,10.47%
07,El Oro,715751,0705,Chilla,2379,-3.450000000000000,-79.58000000000000,17.15%,17.15%,17.57%,18.33%,18.33%,18.33%,18.5%,19.17%,9.79%,10.84%,11.69%,13.66%,15.17%,15.51%,15.72%,16.1%,16.27%,16.69%,17.28%,17.86%,19.17%,19.21%,19.5%,19.71%,21.31%,23.29%,24.46%,24.59%
